Method,Name,Error,Occurrences
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 32.84s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 58.62s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 23.12s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 48.59s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 16.25s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 34.99s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 24.79s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 33.50s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 43.40s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 41.65s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 39.87s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 25.96s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 18.35s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 33.03s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 51.99s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 59.32s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 20.21s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 18.34s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 20.85s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 57.18s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 60.39s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 58.64s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 42.98s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 57.52s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 44.14s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 42.85s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 60.25s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 50.02s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 18.28s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 54.70s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 56.07s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 28.35s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 56.61s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 30.94s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 63.57s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 21.64s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 53.86s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 46.88s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 49.68s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 46.62s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 22.68s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 59.72s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 62.64s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 50.22s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 30.47s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 60.92s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 18.38s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 28.06s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 26.48s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 49.62s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 15.89s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 25.47s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 43.63s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 25.23s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 16.05s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 54.20s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 33.66s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 38.43s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 38.34s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 19.56s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 62.52s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 44.68s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 18.63s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 23.02s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 50.38s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 57.73s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 35.10s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 53.67s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 26.45s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 48.98s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 38.41s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 50.01s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 59.54s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 52.58s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 62.20s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 46.94s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 23.03s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 27.12s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 37.36s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 57.79s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 47.95s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 31.78s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 23.78s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 61.34s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 46.18s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 65.08s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 56.62s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 61.42s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 59.53s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 36.54s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 38.73s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 61.24s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 32.26s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 45.07s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 61.73s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 17.26s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 56.72s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 50.45s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 17.61s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 39.90s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 35.85s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 37.15s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 26.14s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 18.67s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 53.36s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 52.18s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 53.61s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 52.79s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 37.13s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 25.01s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 33.68s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 36.08s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 41.54s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 55.99s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 32.51s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 60.11s (Límite: 15.0s)'),1
