Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Petición_Prueba_Estrés,270,210,37000.0,34662.54639037045,799.8048000008566,66768.70100000087,681.6111111111111,3.695233858298715,2.8740707786767783,37000,49000,54000,57000,60000,63000,65000,66000,67000,67000,67000
,Aggregated,270,210,37000.0,34662.54639037045,799.8048000008566,66768.70100000087,681.6111111111111,3.695233858298715,2.8740707786767783,37000,49000,54000,57000,60000,63000,65000,66000,67000,67000,67000
